Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients_with_Concentration,Effects
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,Vitamin C 10% + Niacinamide 5% + Lactic Acid,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,Niacinamide 5% + Licorice Extract 2% + Alpha Arbutin 2%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,Green Tea Extract 3% + Niacinamide 5% + Azelaic Acid 10%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,Niacinamide 5% + Aloe Vera + Centella Asiatica,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,Licorice Extract 2% + Aloe Vera + Alpha Arbutin 2%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,Willow Bark Extract + Niacinamide 5% + Salicylic Acid 2%,"Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Wrinkles,General,Hyaluronic Acid 1% + Peptides + Niacinamide 5%,"Hydrates and plumps the skin, Improves skin elasticity and firmness, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Niacinamide 5% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Niacinamide 5% + Azelaic Acid 10% + Zinc PCA,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Fungal,Azelaic Acid 10% + Niacinamide 5% + Salicylic Acid 2%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cystic,Salicylic Acid 2% + Azelaic Acid 10% + Benzoyl Peroxide 2.5%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Kills acne-causing bacteria"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Pigmented,Niacinamide 5% + Licorice Extract 2% + Caffeine 3%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Vascular,Niacinamide 5% + Caffeine 3% + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Spots,General,Licorice Extract 2% + Kojic Acid 1% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dullness,General,Vitamin C 10% + Hyaluronic Acid 1% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Hyperpigmentation,General,Vitamin C 10% + Licorice Extract 2% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Open Pores,General,Green Tea Extract 3% + Clay + Salicylic Acid 2%,"Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores, Unclogs pores and removes excess oil"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Redness,General,Aloe Vera + Green Tea Extract 3% + Centella Asiatica,"Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Sun Tan,General,Aloe Vera + Licorice Extract 2% + Niacinamide 5%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Whiteheads / Blackheads,General,Niacinamide 5% + Zinc PCA + Willow Bark Extract,"Reduces inflammation and regulates sebum, Controls sebum production, Naturally exfoliates and clears pores"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Wrinkles,General,Peptides + Coenzyme Q10 + Retinol 0.1%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Salicylic Acid 2% + Niacinamide 5% + Zinc PCA,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Salicylic Acid 2% + Zinc PCA + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Fungal,Salicylic Acid 2% + Niacinamide 5% + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cystic,Azelaic Acid 10% + Niacinamide 5% + Benzoyl Peroxide 2.5%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Pigmented,Licorice Extract 2% + Niacinamide 5% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Vascular,Caffeine 3% + Caffeine 3% + Vitamin C 10%,"Reduces puffiness and improves circulation, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Spots,General,Niacinamide 5% + Alpha Arbutin 2% + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dullness,General,Hyaluronic Acid 1% + Niacinamide 5% + Lactic Acid,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Hyperpigmentation,General,Tranexamic Acid 2% + Niacinamide 5% + Vitamin C 10%,"Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Open Pores,General,Salicylic Acid 2% + Clay + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Redness,General,Centella Asiatica + Aloe Vera + Chamomile Extract,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Calms redness and irritation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Sun Tan,General,Niacinamide 5% + Vitamin C 10% + Alpha Arbutin 2%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Whiteheads / Blackheads,General,Willow Bark Extract + Glycolic Acid + Zinc PCA,"Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin, Controls sebum production"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Wrinkles,General,Hyaluronic Acid 1% + Coenzyme Q10 + Niacinamide 5%,"Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Azelaic Acid 10% + Niacinamide 5%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Dry,Yes,Acne,Inflammatory,Green Tea Extract 3% + Benzoyl Peroxide 2.5% + Salicylic Acid 2%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
45+,Normal,Normal to Dry,Yes,Acne,Fungal,Salicylic Acid 2% + Azelaic Acid 10% + Zinc PCA,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Controls sebum production"
45+,Normal,Normal to Dry,Yes,Acne,Cystic,Zinc PCA + Azelaic Acid 10% + Salicylic Acid 2%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
45+,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,Licorice Extract 2% + Caffeine 3% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Dry,Yes,Dark Circles,Vascular,Niacinamide 5% + Licorice Extract 2% + Hyaluronic Acid 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,Yes,Dark Spots,General,Niacinamide 5% + Alpha Arbutin 2% + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
45+,Normal,Normal to Dry,Yes,Dullness,General,Lactic Acid + Niacinamide 5% + Hyaluronic Acid 1%,"Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,Yes,Hyperpigmentation,General,Licorice Extract 2% + Vitamin C 10% + Tranexamic Acid 2%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation"
45+,Normal,Normal to Dry,Yes,Open Pores,General,Salicylic Acid 2% + Clay + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
45+,Normal,Normal to Dry,Yes,Redness,General,Niacinamide 5% + Green Tea Extract 3% + Chamomile Extract,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation"
45+,Normal,Normal to Dry,Yes,Sun Tan,General,Alpha Arbutin 2% + Licorice Extract 2% + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,Zinc PCA + Niacinamide 5% + Glycolic Acid,"Controls sebum production, Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin"
45+,Normal,Normal to Dry,Yes,Wrinkles,General,Peptides + Niacinamide 5% + Retinol 0.1%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles"
45+,Normal,Normal to Dry,No,Acne,Comedonal,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Dry,No,Acne,Inflammatory,Niacinamide 5% + Zinc PCA + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture"
45+,Normal,Normal to Dry,No,Acne,Fungal,Salicylic Acid 2% + Green Tea Extract 3% + Zinc PCA,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
45+,Normal,Normal to Dry,No,Acne,Cystic,Zinc PCA + Azelaic Acid 10% + Niacinamide 5%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Dry,No,Dark Circles,Pigmented,Caffeine 3% + Vitamin C 10% + Hyaluronic Acid 1%,"Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,No,Dark Circles,Vascular,Licorice Extract 2% + Niacinamide 5% + Hyaluronic Acid 1%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,No,Dark Spots,General,Vitamin C 10% + Alpha Arbutin 2% + Kojic Acid 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
45+,Normal,Normal to Dry,No,Dullness,General,Vitamin C 10% + Green Tea Extract 3% + Lactic Acid,"Brightens skin and reduces pigmentation, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
45+,Normal,Normal to Dry,No,Hyperpigmentation,General,Tranexamic Acid 2% + Alpha Arbutin 2% + Vitamin C 10%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Dry,No,Open Pores,General,Clay + Azelaic Acid 10% + Salicylic Acid 2%,"Absorbs excess oil and tightens pores, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
45+,Normal,Normal to Dry,No,Redness,General,Green Tea Extract 3% + Niacinamide 5% + Aloe Vera,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
45+,Normal,Normal to Dry,No,Sun Tan,General,Alpha Arbutin 2% + Vitamin C 10% + Aloe Vera,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Soothes and hydrates irritated skin"
45+,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,Glycolic Acid + Niacinamide 5% + Willow Bark Extract,"Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores"
45+,Normal,Normal to Dry,No,Wrinkles,General,Coenzyme Q10 + Retinol 0.1% + Hyaluronic Acid 1%,"Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles, Hydrates and plumps the skin"
45+,Normal,Normal to Oily,Yes,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide 2.5% + Salicylic Acid 2%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
45+,Normal,Normal to Oily,Yes,Acne,Inflammatory,Benzoyl Peroxide 2.5% + Salicylic Acid 2% + Azelaic Acid 10%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
45+,Normal,Normal to Oily,Yes,Acne,Fungal,Niacinamide 5% + Benzoyl Peroxide 2.5% + Zinc PCA,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production"
45+,Normal,Normal to Oily,Yes,Acne,Cystic,Salicylic Acid 2% + Zinc PCA + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
45+,Normal,Normal to Oily,Yes,Dark Circles,Pigmented,Niacinamide 5% + Caffeine 3% + Hyaluronic Acid 1%,"Reduces inflammation and regulates sebum, Improves blood circulation under eyes, Hydrates and plumps the skin"
45+,Normal,Normal to Oily,Yes,Dark Circles,Vascular,Licorice Extract 2% + Caffeine 3% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,Yes,Dark Spots,General,Niacinamide 5% + Kojic Acid 1% + Alpha Arbutin 2%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots"
45+,Normal,Normal to Oily,Yes,Dullness,General,Hyaluronic Acid 1% + Green Tea Extract 3% + Lactic Acid,"Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
45+,Normal,Normal to Oily,Yes,Hyperpigmentation,General,Niacinamide 5% + Tranexamic Acid 2% + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
45+,Normal,Normal to Oily,Yes,Open Pores,General,Niacinamide 5% + Azelaic Acid 10% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,Yes,Redness,General,Niacinamide 5% + Centella Asiatica + Aloe Vera,"Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin"
45+,Normal,Normal to Oily,Yes,Sun Tan,General,Licorice Extract 2% + Aloe Vera + Alpha Arbutin 2%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
45+,Normal,Normal to Oily,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Glycolic Acid + Niacinamide 5%,"Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,Yes,Wrinkles,General,Peptides + Hyaluronic Acid 1% + Niacinamide 5%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,No,Acne,Comedonal,Salicylic Acid 2% + Benzoyl Peroxide 2.5% + Zinc PCA,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production"
45+,Normal,Normal to Oily,No,Acne,Inflammatory,Niacinamide 5% + Azelaic Acid 10% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,No,Acne,Fungal,Benzoyl Peroxide 2.5% + Niacinamide 5% + Salicylic Acid 2%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
45+,Normal,Normal to Oily,No,Acne,Cystic,Salicylic Acid 2% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,No,Dark Circles,Pigmented,Vitamin C 10% + Caffeine 3% + Licorice Extract 2%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone"
45+,Normal,Normal to Oily,No,Dark Circles,Vascular,Licorice Extract 2% + Caffeine 3% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,No,Dark Spots,General,Licorice Extract 2% + Alpha Arbutin 2% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Oily,No,Dullness,General,Lactic Acid + Niacinamide 5% + Green Tea Extract 3%,"Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,No,Hyperpigmentation,General,Vitamin C 10% + Niacinamide 5% + Tranexamic Acid 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
45+,Normal,Normal to Oily,No,Open Pores,General,Green Tea Extract 3% + Salicylic Acid 2% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,No,Redness,General,Centella Asiatica + Niacinamide 5% + Aloe Vera,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
45+,Normal,Normal to Oily,No,Sun Tan,General,Aloe Vera + Licorice Extract 2% + Alpha Arbutin 2%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
45+,Normal,Normal to Oily,No,Whiteheads / Blackheads,General,Glycolic Acid + Salicylic Acid 2% + Zinc PCA,"Exfoliates dead skin cells and smooths skin, Unclogs pores and removes excess oil, Controls sebum production"
45+,Normal,Normal to Oily,No,Wrinkles,General,Peptides + Niacinamide 5% + Retinol 0.1%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles"
45+,Dry,Dry to Normal,Yes,Acne,Comedonal,Salicylic Acid 2% + Niacinamide 5% + Benzoyl Peroxide 2.5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
45+,Dry,Dry to Normal,Yes,Acne,Inflammatory,Benzoyl Peroxide 2.5% + Niacinamide 5% + Zinc PCA,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
45+,Dry,Dry to Normal,Yes,Acne,Fungal,Azelaic Acid 10% + Green Tea Extract 3% + Zinc PCA,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
45+,Dry,Dry to Normal,Yes,Acne,Cystic,Benzoyl Peroxide 2.5% + Salicylic Acid 2% + Green Tea Extract 3%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
45+,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,Niacinamide 5% + Hyaluronic Acid 1% + Caffeine 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Reduces puffiness and improves circulation"
45+,Dry,Dry to Normal,Yes,Dark Circles,Vascular,Niacinamide 5% + Vitamin C 10% + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
45+,Dry,Dry to Normal,Yes,Dark Spots,General,Niacinamide 5% + Licorice Extract 2% + Kojic Acid 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration"
45+,Dry,Dry to Normal,Yes,Dullness,General,Green Tea Extract 3% + Hyaluronic Acid 1% + Lactic Acid,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Gently exfoliates and improves skin radiance"
45+,Dry,Dry to Normal,Yes,Hyperpigmentation,General,Tranexamic Acid 2% + Alpha Arbutin 2% + Niacinamide 5%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,Yes,Open Pores,General,Clay + Green Tea Extract 3% + Niacinamide 5%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,Yes,Redness,General,Aloe Vera + Chamomile Extract + Niacinamide 5%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,Yes,Sun Tan,General,Alpha Arbutin 2% + Licorice Extract 2% + Aloe Vera,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin"
45+,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid 2% + Glycolic Acid,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
45+,Dry,Dry to Normal,Yes,Wrinkles,General,Niacinamide 5% + Hyaluronic Acid 1% + Peptides,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves skin elasticity and firmness"
45+,Dry,Dry to Normal,No,Acne,Comedonal,Green Tea Extract 3% + Salicylic Acid 2% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,No,Acne,Inflammatory,Azelaic Acid 10% + Green Tea Extract 3% + Zinc PCA,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
45+,Dry,Dry to Normal,No,Acne,Fungal,Green Tea Extract 3% + Azelaic Acid 10% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,No,Acne,Cystic,Green Tea Extract 3% + Niacinamide 5% + Salicylic Acid 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
45+,Dry,Dry to Normal,No,Dark Circles,Pigmented,Caffeine 3% + Niacinamide 5% + Licorice Extract 2%,"Improves blood circulation under eyes, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
45+,Dry,Dry to Normal,No,Dark Circles,Vascular,Niacinamide 5% + Hyaluronic Acid 1% + Caffeine 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves blood circulation under eyes"
45+,Dry,Dry to Normal,No,Dark Spots,General,Niacinamide 5% + Alpha Arbutin 2% + Kojic Acid 1%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
45+,Dry,Dry to Normal,No,Dullness,General,Green Tea Extract 3% + Vitamin C 10% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,No,Hyperpigmentation,General,Tranexamic Acid 2% + Alpha Arbutin 2% + Vitamin C 10%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
45+,Dry,Dry to Normal,No,Open Pores,General,Niacinamide 5% + Salicylic Acid 2% + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
45+,Dry,Dry to Normal,No,Redness,General,Centella Asiatica + Niacinamide 5% + Aloe Vera,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
45+,Dry,Dry to Normal,No,Sun Tan,General,Alpha Arbutin 2% + Licorice Extract 2% + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
45+,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,Niacinamide 5% + Glycolic Acid + Willow Bark Extract,"Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores"
45+,Dry,Dry to Normal,No,Wrinkles,General,Retinol 0.1% + Niacinamide 5% + Coenzyme Q10,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Provides antioxidant protection and supports skin repair"
45+,Dry,Extreme Dry,Yes,Acne,Comedonal,Salicylic Acid 2% + Niacinamide 5% + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
45+,Dry,Extreme Dry,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid 2% + Azelaic Acid 10%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
45+,Dry,Extreme Dry,Yes,Acne,Fungal,Azelaic Acid 10% + Green Tea Extract 3% + Niacinamide 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
45+,Dry,Extreme Dry,Yes,Acne,Cystic,Zinc PCA + Green Tea Extract 3% + Azelaic Acid 10%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
45+,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,Licorice Extract 2% + Hyaluronic Acid 1% + Caffeine 3%,"Lightens dark spots and evens skin tone, Hydrates and plumps the skin, Improves blood circulation under eyes"
45+,Dry,Extreme Dry,Yes,Dark Circles,Vascular,Vitamin C 10% + Hyaluronic Acid 1% + Caffeine 3%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces puffiness and improves circulation"
