ingredient_name,inci_name,category,benefits,skin_type_suitable,safety_rating
Resveratrol,,"Resveratrol is a natural polyphenolic compound found in various plants, particularly in the skin of grapes, red wine, and certain berries. In skincare, resveratrol is known for its potent antioxidant and anti-aging properties.","Resveratrol offers benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and prevent premature aging of the skin.
- Assists in reducing the appearance of fine lines and wrinkles, contributing to a smoother and more youthful complexion.
- Can help improve skin firmness and elasticity, promoting a more resilient and lifted appearance.
- May soothe and calm irritated skin, contributing to a more comfortable and balanced complexion.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Red Algae,,"Red algae are marine plant organisms that are rich in nutrients and minerals. In skincare, red algae extracts are used for their potential hydrating, antioxidant, and soothing properties.","Red algae offers benefits such as:
- Provides excellent hydration to the skin, helping to improve moisture retention and skin barrier function.
- Contains antioxidants that protect the skin from free radical damage, contributing to overall skin health.
- Assists in soothing and calming irritated or sensitive skin, reducing redness and promoting a more comfortable complexion.
- Can enhance the appearance of skin firmness and elasticity, contributing to a more youthful look.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Quercetin,,"Quercetin is a flavonoid, a type of plant-derived compound, that is used in skincare products for its antioxidant and anti-inflammatory properties.","Quercetin offers benefits such as:
- Provides antioxidant protection, helping to prevent premature aging and maintain skin health.
- Reduces inflammation and calms irritated skin, making it beneficial for individuals with sensitive or reactive skin.
- Supports collagen production, contributing to improved skin elasticity and firmness.
- Helps brighten the skin and improve the appearance of uneven skin tone.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Pseudoalteromonas Exopolysaccharides,,"It is rich in the same monosaccharide, called glucuronic acid, as Hyaluronic Acid, and has a similar effect on the skin.",Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Proline,,Proline is an amino-acid that our body can naturally produce and also one of the major building blocks of collagen.,"Helps to maintain firm, youthful skin through promoting collagen production and moisturising the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Potassium Azeloyl Diglycinate,,"Potassium Azeloyl Diglycinate is a multifunctional skincare ingredient derived from azelaic acid and glycine. It is used in cosmetics for its potential brightening, sebum-regulating, and skin-soothing properties.","PAD offers benefits such as:
- Helps regulate sebum production, making it beneficial for oily and acne-prone skin.
- Brightens the skin and promotes a more even complexion by inhibiting the production of melanin.
- Assists in reducing the appearance of dark spots and hyperpigmentation, improving skin tone.
- Has skin-soothing properties, helping to calm and alleviate skin redness and irritation.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy']",Safe
Probiotics,,"Probiotics are live beneficial microorganisms that provide various health benefits when applied to the skin. In skincare products, probiotics are used to support the skin's microbiome and promote overall skin health.","Probiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by supporting the growth of beneficial bacteria.
- Strengthen the skin's natural defense against harmful bacteria, reducing the risk of skin issues like acne and inflammation.
- Enhance the skin's barrier function, improving its resilience and protection against environmental stressors.
- Have soothing properties, helping to calm and alleviate skin irritation and redness.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Prickly Pear Extract,,"Prickly Pear Extract is derived from the fruit of the prickly pear cactus (Opuntia ficus-indica). In skincare, it is used for its potential hydrating, antioxidant, and skin-soothing properties.","Prickly pear extract offers benefits such as:
- Provides deep hydration to the skin, helping to retain moisture and improve skin barrier function.
- Contains antioxidants that neutralize free radicals, protecting the skin from environmental damage and premature aging.
- Assists in soothing and calming irritated or sensitive skin, reducing redness and promoting skin comfort.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Snow Mushroom Extract,,"This botanical extract is very high in polysaccharides, giving it great humectant qualities. It also has anti-inflammatory properties and some research shows this to have collagen-boosting properties.","Snow mushroom extract offers benefits such as:
- Provides intense hydration to the skin, helping to improve moisture retention and promote a plumper and more supple complexion.
- Has film-forming properties, creating a protective barrier on the skin's surface to prevent moisture loss and maintain skin hydration.
- Can help soothe and calm irritated or sensitive skin, making it beneficial for individuals with dry or reactive skin.
- Supports overall skin health and radiance, contributing to a smoother and more luminous complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Prebiotics,,"Prebiotics are a type of non-digestible dietary fiber used in skincare products to support the skin's microbiome, which consists of beneficial bacteria that contribute to skin health.","Prebiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.
- Support the skin's natural defenses against harmful microorganisms, contributing to overall skin health.
- Enhance the skin's barrier function, reducing moisture loss and improving hydration.
- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Shea Butter,,"Shea Butter is a natural fat extracted from the nuts of the shea tree (Vitellaria paradoxa). In skincare, it is used for its intensely moisturizing, emollient, and skin-nourishing properties.","Shea butter offers benefits such as:
- Provides deep and long-lasting moisture to the skin, helping to improve skin hydration and maintain a soft and supple complexion.
- Acts as an effective emollient, forming a protective barrier on the skin's surface to prevent moisture loss and promote a smooth and silky feel.
- Nourishes and soothes the skin, making it beneficial for individuals with dry, sensitive, or irritated skin.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Sesame Seed Oil,,"Sesame oil is derived from the sesame seed, and is rich in omega 6 and vitamin E. It helps to support the skin's natural lipid barrier, keeping skin moisturised and preventing excess water loss.","Sesame oil offers benefits such as:
- Provides deep moisturization to the skin, helping to improve skin hydration and maintain a soft and supple complexion.
- Offers antioxidant protection, helping to neutralize free radicals and defend the skin from environmental stressors.
- Nourishes the skin with essential nutrients, promoting overall skin health and radiance.
- Can help soothe and calm irritated or inflamed skin, making it beneficial for individuals with sensitive or dry skin.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy']",Safe
Silk Protein,,Silk protein is used in skincare to add hydration to the skin. It also contains antioxidants which offer protection against free radicals.,"Silk protein offers benefits such as:
- Provides moisture to the skin, helping to improve hydration and maintain a soft and smooth complexion.
- Acts as a film-forming agent, creating a protective barrier on the skin's surface to help lock in moisture and leave the skin feeling silky and smooth.
- Can help improve the appearance of skin texture, promoting a more refined and even complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy']",Safe
Sh-Oligopeptide,,A synthetic bio-active peptide composed of 15 amino acids.,"Additional research shows oligopeptide can have a positive impact on sensitive skin, helping target and improve factors that lead to visible redness.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Serine,,Serine is produced in the body making this amino-acid a nonessential amino acid.,Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Sea Buckthorn Water,,"Sea Buckthorn Water is derived from the sea buckthorn plant (Hippophae rhamnoides). In skincare, it is used for its potential hydrating, antioxidant, and skin-nourishing properties.","Sea buckthorn water offers benefits such as:
- Provides lightweight hydration to the skin, helping to improve moisture retention and maintain skin suppleness.
- Offers antioxidant protection, helping to neutralize free radicals and defend the skin from environmental stressors.
- Nourishes the skin with essential vitamins, promoting a healthy and radiant complexion.","[' ', 'Radiance', ' ', 'Pregnancy']",Safe
Saskatoon Berry,,"Saskatoon berries are small, purple berries, rich in vitamins, minerals and antioxidants to protect from free radical damage.","Saskatoon berry offers benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and defend the skin from environmental stressors.
- Nourishes the skin with essential vitamins and nutrients, promoting a healthy and radiant complexion.
- Can help improve the appearance of skin tone and texture, contributing to a smoother and more even skin surface.","[' ', 'Pregnancy']",Safe
Salicylic Acid,,"Salicylic Acid is a beta hydroxy acid (BHA) derived from willow bark or synthesized in the laboratory. In skincare, it is used for its exfoliating, antibacterial, anti-inflammatory and acne-fighting properties.","Salicylic acid offers benefits such as:
- Exfoliates the skin's surface, promoting the removal of dead skin cells and debris, resulting in a smoother and more even complexion.
- Penetrates deep into pores, helping to unclog and dissolve sebum and debris, making it effective for addressing and preventing acne.
- Can help reduce the appearance of blackheads and whiteheads.
- May have anti-inflammatory properties, contributing to the reduction of redness and swelling associated with acne.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Oily', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Redness', ' ', 'Radiance']",Safe
Rosemary Leaf Extract,,"A potent plant antioxidant, which is also thought to have anti-inflammatory and antibacterial properties.","Rosemary leaf extract offers benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and defend the skin against environmental stressors.
- Assists in reducing skin inflammation, making it beneficial for individuals with sensitive or irritated skin.
- Has soothing properties, helping to calm redness and promote skin comfort.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Safflower Seed Oil,,"Natural oil rich in linoleic acid, an essential fatty acid, which cannot be produced naturally by the body and which helps support the lipid barrier of the skin, minimising water loss to keep skin soft, smooth and moisturised.","Safflower seed oil offers benefits such as:
- Provides lightweight and non-greasy moisture to the skin, helping to improve hydration and maintain skin barrier function.
- Has soothing properties, making it beneficial for individuals with dry, sensitive, or irritated skin.
- Helps nourish and protect the skin, promoting a smoother and more supple complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Saccharomyces Cerevisiae (Yeast) Extract,,"Prebiotics are a type of non-digestible dietary fiber used in skincare products to support the skin's microbiome, which consists of beneficial bacteria that contribute to skin health.","Prebiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.
- Support the skin's natural defenses against harmful microorganisms, contributing to overall skin health.
- Enhance the skin's barrier function, reducing moisture loss and improving hydration.
- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Sacred Lotus Flower Extract,,"
Sacred lotus flower extract offers multi-functional benefits, addressing pigmentation and wrinkles. It inhibits tyrosinase, reducing dark spots, while also slowing elastin degradation, promoting skin firmness.","Sacred lotus flower extract offers benefits such as:
- Provides deep hydration to the skin, helping to improve moisture retention and maintain skin suppleness.
- Offers antioxidant protection, helping to neutralize free radicals and defend the skin from environmental stressors.
- Assists in reducing the appearance of fine lines and wrinkles, contributing to a plumper, smoother and more youthful complexion.
- Can help reduce the appearance of dark spots and promote a more even complexion.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Wrinkles']",Safe
Tasmanian Pepperberry Extract,,"Tasmanian Pepperberry Extract, also known as Tasmanian Pepper or Tasmannia lanceolata extract, is derived from the berries of the Tasmanian Pepper tree native to Australia. In skincare, it is used for its potential soothing, antioxidant, and anti-inflammatory properties.","Tasmanian pepperberry extract offers benefits such as:
- Provides soothing properties, making it beneficial for individuals with sensitive or irritated skin.
- Acts as a potent antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors.
- Can help reduce skin redness and inflammation, contributing to a calmer and more balanced complexion.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Tartaric Acid,,"Tartaric Acid is a natural organic acid found in various fruits, particularly in grapes, tamarind, and bananas. In skincare, it is used for its potential exfoliating and brightening properties.","Tartaric acid offers benefits such as:
- Acts as an exfoliant, helping to remove dead skin cells and promote skin cell turnover, resulting in a smoother and more even complexion.
- Can help improve the appearance of dark spots, hyperpigmentation, and dull skin, contributing to a brighter and more radiant complexion.
- Assists in enhancing the absorption of other skincare ingredients, making it beneficial for improving the effectiveness of other products in your skincare routine.
- Supports overall skin health by promoting a refreshed and rejuvenated appearance.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Radiance', ' ', 'Pregnancy']",Safe
Rhamnose,,"Prebiotics are a type of non-digestible dietary fiber used in skincare products to support the skin's microbiome, which consists of beneficial bacteria that contribute to skin health.","Prebiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.
- Support the skin's natural defenses against harmful microorganisms, contributing to overall skin health.
- Enhance the skin's barrier function, reducing moisture loss and improving hydration.
- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Sweet Almond Oil,,"Sweet Almond Oil is a natural oil derived from the kernels of sweet almonds (Prunus dulcis). In skincare, it is used for its potential moisturizing, nourishing, and skin-soothing properties.","Sweet almond oil offers benefits such as:
- Provides lightweight and non-greasy moisture to the skin, helping to improve skin hydration and maintain a soft and supple complexion.
- Acts as an emollient, forming a protective barrier on the skin's surface to prevent moisture loss and promote a smooth and silky feel.
- Can help soothe and calm irritated or sensitive skin, making it beneficial for individuals with dry or reactive skin.
- Assists in improving skin texture and promoting a more even and radiant complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Symsitive,,"Symsitive™ is a biomimetic peptide, meaning it mimics the natural peptides found in the skin. It is designed to calm the skin's nerve fibers and receptors, reducing the skin's sensitivity and discomfort.","Symsitive offers benefits such as:
- Provides instant relief to sensitive skin, helping to reduce skin reactions and discomfort caused by external factors.
- Calms the skin's sensory receptors, making it beneficial for individuals with reactive or easily irritated skin.
- Can help improve the skin's tolerance to environmental stressors, such as temperature changes and pollution.
- Supports overall skin health and well-being, contributing to a more comfortable and balanced complexion.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Sugar Cane Extract,,"Sugarcane Extract is derived from the sugarcane plant (Saccharum officinarum). In skincare, it is used for its potential exfoliating, moisturizing, and brightening properties.","Sugarcane extract offers benefits such as:
- Acts as an exfoliant, helping to remove dead skin cells and unclog pores, resulting in a smoother and more even complexion.
- Provides gentle and effective exfoliation, making it suitable for individuals with sensitive skin.
- Offers moisturizing properties, helping to improve skin hydration and maintain a soft and supple complexion.
- Can help improve the appearance of skin tone and texture, contributing to a brighter and more radiant complexion.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Radiance', ' ', 'Texture']",Safe
Superoxide Dismutase,,"Superoxide Dismutase is an enzyme that helps protect the skin from damage caused by free radicals, which are unstable molecules that can lead to premature aging and other skin concerns. In skincare, it is used for its potential antioxidant and anti-aging properties.","Superoxide dismutase offers benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and defend the skin from environmental stressors, such as UV rays and pollution.
- Supports the skin's natural defense mechanisms, helping to prevent and reduce signs of aging, such as fine lines and wrinkles.
- Can help soothe and calm irritated skin, making it beneficial for individuals with sensitive or reactive skin.
- Assists in promoting a more youthful and radiant complexion by combating oxidative stress and promoting overall skin health.","[' ', 'Pregnancy']",Safe
Sunflower Oil,,"Sunflower Oil is a vegetable oil derived from sunflower seeds (Helianthus annuus). In skincare, it is used for its potential moisturizing, nourishing, and skin-soothing properties.","Sunflower oil offers benefits such as:
- Provides lightweight and non-greasy moisture to the skin, helping to improve skin hydration and maintain a soft and supple complexion.
- Offers emollient properties, creating a protective barrier on the skin's surface to prevent moisture loss and promote a smooth and silky feel.
- Can help soothe and calm irritated or sensitive skin, making it beneficial for individuals with dry or reactive skin.
- Assists in improving skin texture and promoting a more even and radiant complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Spent Grain Wax,,Spent grain wax is a natural ingredient which can help to reduce signs of irritation in the skin.,"Spent grain wax offers benefits such as:
- Acts as an effective emollient, forming a protective barrier on the skin's surface to lock in moisture and promote a smooth and soft feel.
- Provides long-lasting hydration to the skin, helping to improve skin moisture retention and maintain a well-hydrated complexion.
- Can help condition the skin, making it beneficial for individuals with dry or rough skin.
- Assists in improving skin texture and promoting a more supple and comfortable feel.","[' ', 'Dry and dehydrated skin', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Sulfur,,"Sulfur is a naturally occurring element found in the Earth's crust and is commonly used in skincare for its potential anti-inflammatory, and antimicrobial properties.","Sulfur offers benefits such as:
- Exhibits potential anti-inflammatory effects, helping to soothe and calm skin conditions such as acne and rosacea.
- Possesses antimicrobial properties, assisting in fighting bacteria and fungi on the skin's surface.
- May regulate excess oil production, making it beneficial for individuals with oily or acne-prone skin.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Pregnancy']",Safe
Squalane,,"Squalane is a stable and lightweight form of squalene, a natural compound found in the skin's sebum. In skincare, it is used for its potential moisturizing, emollient, and skin-balancing properties.","Squalane offers benefits such as:
- Acts as a highly effective emollient, providing immediate and long-lasting hydration to the skin, helping to improve moisture retention and maintain a soft and supple complexion.
- Forms a protective barrier on the skin's surface, preventing moisture loss and protecting the skin from environmental stressors.
- Can help balance oil production, making it beneficial for individuals with oily or acne-prone skin.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Urea,,"Urea is a humectant, which means it has the ability to attract and retain moisture, helping to keep the skin hydrated. In skincare products, it is often used as a synthetic ingredient for its potential moisturizing and exfoliating properties.","Urea offers benefits such as:
- Acts as an effective moisturizer, helping to hydrate and soften the skin by attracting and retaining water.
- Assists in exfoliation, as it can help to loosen and slough off dead skin cells, promoting a smoother and more refined skin texture.
- Can improve the overall barrier function of the skin, supporting a stronger and healthier skin barrier.
- Helps to alleviate dry and rough skin conditions, making it beneficial for individuals with dry or dehydrated skin.","[' ', 'Dry and dehydrated skin', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Sodium Lactate,,"Natural Moisturizing Factors (NMFs) are a group of naturally occurring substances found in the skin's outermost layer, the stratum corneum. They play a crucial role in maintaining the skin's hydration and barrier function.","NMFs offer benefits such as:
- Provide essential hydration to the skin, attracting and retaining moisture from the environment.
- Help maintain the skin's barrier function, preventing excessive water loss and protecting against external irritants.
- Contribute to the suppleness and smoothness of the skin's surface.
- Play a vital role in the overall health and appearance of the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Turmeric Root Extract,,"Turmeric Root Extract is a natural extract derived from the rhizomes of the turmeric plant (Curcuma longa). In skincare, it is used for its potential anti-inflammatory, antioxidant, and brightening properties.","Turmeric root extract offers benefits such as:
- Acts as a potent antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Can help soothe and calm irritated or inflamed skin, making it beneficial for individuals with sensitive or reactive skin.
- Assists in brightening the skin, promoting a more even and radiant complexion.
- Can improve the overall appearance of skin texture, making it beneficial for individuals with concerns about skin roughness or uneven tone.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Valine,,"An essential amino acid (a building block of skin proteins like collagen) that our body cannot produce itself but has to take from external sources, like diet. ",Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Trehalose,,"Natural Moisturizing Factors (NMFs) are a group of naturally occurring substances found in the skin's outermost layer, the stratum corneum. They play a crucial role in maintaining the skin's hydration and barrier function.","NMFs offer benefits such as:
- Provide essential hydration to the skin, attracting and retaining moisture from the environment.
- Help maintain the skin's barrier function, preventing excessive water loss and protecting against external irritants.
- Contribute to the suppleness and smoothness of the skin's surface.
- Play a vital role in the overall health and appearance of the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Tripleurospermum Maritimum Extract,,"It is used in skincare for its anti-inflammatory and soothing properties reducing irritation, itching, and redness of sensitive skin. It is suitable for the face and sensitive eye area.",Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Triazine Diethyl Butamidotriazone,,"Triazine diethyl butamidotriazone is a synthetic sunscreen agent which supports SPF protection in sun care formulations due to its ability to absorb UVB and some UVA rays (with peak absorption seen at 310nm). It is oil soluble, highly photo stable and requires relatively low concentrations to achieve high SPF values. It's particularly suitable for water-repellent and water-resistant formulations.","As with other synthetic UV filters, it works by absorbing UV light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body.","[' ', 'UV Protection']",Safe
Thiamidol,,Thiamidol is a synthetic cosmetic ingredient known for its skin-brightening and pigment-reducing properties. It is used in skincare products to target and reduce the appearance of dark spots and hyperpigmentation.,"Thiamidol offers benefits such as:
- Targets and inhibits melanin production in the skin, helping to reduce the appearance of dark spots and hyperpigmentation.
- Assists in preventing the formation of new dark spots, making it beneficial for individuals with concerns about sun damage and uneven skin tone.
- Can improve the overall clarity and brightness of the skin, promoting a more even and radiant complexion.
- Supports a more uniform and balanced skin tone, contributing to a youthful and healthy-looking appearance.","[' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Pregnancy']",Safe
Tranexamic Acid,,"Tranexamic Acid is a synthetic derivative of the amino acid lysine. In skincare, it is used to address hyperpigmentation and skin discoloration.","Tranexamic acid offers benefits such as:
- Targets and inhibits excess melanin production in the skin, making it effective in reducing the appearance of dark spots and hyperpigmentation.
- Can help improve the overall evenness and clarity of the skin, promoting a more uniform complexion.
- Assists in preventing the formation of new dark spots, making it beneficial for individuals with concerns about sun-induced discolorations or post-inflammatory hyperpigmentation.
- Supports a more balanced and radiant skin tone, contributing to a youthful and healthy-looking appearance.","[' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Radiance', ' ', 'Pregnancy']",Safe
Tomato Stem Cells,,"Tomato Stem Cells are a specialized cosmetic ingredient derived from the stem cells of tomatoes (Solanum lycopersicum). In skincare, they are used for their potential antioxidant, anti-aging, and protective properties.","Tomato stem cells offer benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and defend the skin from environmental stressors that can lead to premature aging.
- Supports the skin's natural repair processes, contributing to a more resilient and rejuvenated complexion.
- Can help improve the overall firmness and elasticity of the skin, promoting a more youthful and toned appearance.
- Assists in protecting the skin from oxidative stress and damage caused by UV rays and pollution.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Teprenone,,"Teprenone, also known as geranylgeranylacetone, is a synthetic compound used in skincare for its potential anti-aging and skin-protective properties.","Teprenone offers benefits such as:
- Supports the skin's natural defense mechanisms against environmental stressors, such as UV rays and pollution.
- Can help improve the skin's moisture retention and barrier function, promoting a well-hydrated and healthier-looking complexion.
- May help improve the overall texture and firmness of the skin, supporting a smoother and more supple complexion.","[' ', 'Enlarged Pores', ' ', 'Impaired skin barrier', ' ', 'Pigmentation', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Threonine,,An essential amino acid that's also a key building block of collagen and elastin,Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Zinc Gluconate,,Zinc gluconate is a mild acid produced from zinc and the sugar glucose.,"Zinc salts such as zinc gluconate, zinc PCA and zinc sulphate are used for their anti-inflammatory and sebum regulating properties.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Redness']",Safe
Tetrahexyldecyl Ascorbate,,Tetrahexyldecyl ascorbate is a derivative of L-ascorbate (also called L-ascorbic acid or ascorbic acid) and has many restorative effects on your skin.,Tetrahexyldecyl ascorbate not only reduces dark marks and skin discolorations but also brightens and evens your facial skin tone.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Wrinkles']",Safe
Zinc,,"Zinc is a mineral that plays a crucial role in various bodily functions, including supporting the immune system, promoting wound healing, and maintaining healthy skin. In skincare, zinc salts such as zinc gluconate, zinc PCA and zinc sulphate are used for their anti-inflammatory and sebum regulating properties.","Zinc offers benefits such as:
- Assists in soothing and calming irritated skin: Zinc has anti-inflammatory properties that can help alleviate redness and irritation.
- Supports wound healing: Zinc is involved in the production of collagen, which is essential for skin repair and wound healing.
- Helps regulate sebum production: Zinc gluconate can help control excess oil production, making it beneficial for individuals with oily or acne-prone skin.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Oily', ' ', 'Redness']",Safe
Yerba Mate Extract,,An antioxidant plant extract which helps to protect the skin from free radical damage.,"Yerba mate extract offers benefits such as:
- Acts as an antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.
- Can help improve the appearance of tired or dull skin, promoting a more vibrant and energized complexion.","[' ', 'Impaired skin barrier']",Safe
Yeast Amino Acids,,"Yeast extract is used in skincare because it is a rich source of proteins, amino acids, B vitamins, sugar, flavonoids, peptides, and fatty acids needed for healthy skin.","Helps to maintain firm, youthful skin through promoting collagen production and moisturising the skin. ","[' ', 'Dry and dehydrated skin']",Safe
Willow Herb Extract,,"Willow Herb Extract is derived from various species of the willow herb plant, particularly Epilobium angustifolium. In skincare, it is used for its potential anti-inflammatory, antioxidant, and skin-soothing properties.","Willow herb extract offers benefits such as:
- Acts as an anti-inflammatory, helping to calm and soothe irritated or sensitive skin, making it beneficial for individuals with skin conditions like redness or rosacea.
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.","[' ', 'Impaired skin barrier']",Safe
Willow Bark Extract,,"Willow Bark Extract is derived from the bark of various species of willow trees, particularly from the white willow tree (Salix alba). In skincare, it is used for its potential exfoliating, anti-inflammatory, and skin-soothing properties.","Willow bark extract offers benefits such as:
- Acts as a gentle exfoliant, helping to remove dead skin cells and unclog pores, making it beneficial for individuals with acne-prone or congested skin.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.
- Can help reduce the appearance of redness and inflammation associated with acne or other skin conditions.
- Supports the skin's natural renewal process, contributing to a smoother and more refined skin texture.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Oily', ' ', 'Redness', ' ', 'Radiance']",Safe
Wild Cherry Extract,,"Wild Cherry Extract is derived from the fruit or bark of wild cherry trees, particularly from species like Prunus serotina (black cherry) or Prunus avium (sweet cherry). In skincare, it is used for its potential antioxidant and skin-soothing properties.","Wild cherry extract offers benefits such as:
- Acts as an antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.","[' ', 'Impaired skin barrier']",Safe
White Tea,,"White tea extract is derived from the leaves of the Camellia sinensis plant, the same plant that produces green tea and black tea. White tea is harvested at an early stage when the leaves are young and minimally processed, preserving its natural compounds and antioxidant properties.","White tea offers benefits such as:
- Acts as a potent antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.
- Can improve the overall appearance of the skin, promoting a more radiant and rejuvenated complexion.","[' ', 'Redness']",Safe
